index,명칭,행정 구,분류3,행정구 번호,카테고리 번호,상세주소,이미지 URL,소개
14,어린이민속박물관,종로구,박물관,1,4,서울 종로구 세종로 1-1,https://search4.kakaocdn.net/argon/130x130_85_c/KzPUFGCQZFO,"국립민속박물관(國立民俗博物館, National Folk Museum of Korea)은 한민족과 세계 각국의 생활양식·풍속 및 관습과 이에 사용된 도구 및 자료의 수집·보존·조사·연구·전시·교육 및 교류에 관한 사무를 관장하는 대한민국 문화체육관광부의 소속기관이다. 1992년 10월 30일 발족하였으며, 서울특별시 종로구 삼청로 37에 위치하고 있다. 관장은 고위공무원단 나등급에 속하는 학예연구관으로 보한다.

"
15,영인문학관,종로구,박물관,1,4,서울 종로구 평창동 499-3,https://search2.kakaocdn.net/argon/130x130_85_c/44cr6ovq36c,"영인문학관(寧仁文學館)은 서울특별시 종로구 평창동에 위치한 문학 박물관이다. 이어령, 강인숙 부부가 설립하였다."
16,짚풀생활사박물관,종로구,박물관,1,4,서울 종로구 명륜2가 8-3,https://search2.kakaocdn.net/argon/130x130_85_c/LVN2Xjrp4SR,"인류 기원부터 인간과 함께한 가장 오래되고 보편화된 재료인 짚과 풀은 기계문명이 발달하기 전까지 의·식·주생활에 광범위하게 활용되었다. 그러나 수천 년 내려온 짚풀문화는 1970년대 새마을운동과 산업화 정책에 의해 우리 곁에서 급격히 사라지기 시작했으며, 지금은 농촌에서도 보기 힘든 문화가 되었다. 
짚풀생활사박물관은 우리 조상들의 소중한 문화유산 중 하나인 짚풀문화의 활용방안 연구와 보존 그리고 후손들에게 우리 문화를 전달하기 위해 인병선 관장이 1993년에 설립하였으며, 현재 신좌섭 제2대 관장이 운영 중이다. ‘도심 속 짚풀문화’라는 박물관 슬로건과 ‘다양한 전시·교육 문화 활동의 사회적 공유의 실현’이라는 박물관 목표에 맞춰, 짚풀문화와 한국의 전통 생활사에 관한 학예연구, 전시, 교육프로그램을 운영하고 있다."
17,체신기념관,종로구,박물관,1,4,서울 종로구 견지동 39-7,https://search2.kakaocdn.net/argon/130x130_85_c/HyFxsRQF61b,우정박물관(郵政博物館)은 우정사업본부에서 운영하는 대한민국의 국립박물관이다. 충청남도 천안시 동남구 양지말1길 11-14(유량동 산60-1)에 위치하고 있다.
19,티벳박물관,종로구,박물관,1,4,전남 보성군 문덕면 죽산리 833-5,https://search1.kakaocdn.net/argon/130x130_85_c/GARNQKShvSQ,"티베트 박물관(Tibet Museum)은 서울특별시 종로구 소격동에 있었던 사립 박물관으로, 티베트의 불교문화와 관련된 유물을 전시했다. 2000년대 후반에 폐관했다."
20,화정박물관,종로구,박물관,1,4,서울 종로구 평창동 273-1,https://search4.kakaocdn.net/argon/130x130_85_c/5DgWb60aYkJ,"화정 박물관은 대한민국 서울 종로구 평창동에 있는 한빛문화재단의 박물관이다. 한국과 중국, 티베트의 유물을 다수 소장하고 있으며 특별히 티베트의 유물로 알려져 있다. 티베트 고유의 미술작품인 탕카 유물로 정평나있다. 또 한 이사장의 특색 있는 소장품으로는 16세기~18세기 유럽의 약항아리, 중국 부채와 조각품 등이 있기도 하다.1999년 설립됐으며 거의 모든 수집품은 명예이사장인 한광호의 기증품으로서 박물관의 이름인 화정은 그의 아호를 따서 명명됐다.
화정박물관의 유물들은 여러 주제를 가지고 전시를 하고 있으며 런던의 대영박물관과 일본 5개 도시를 순회하면서 티베트 문화유물에 대해 순회 전시회를 가지기도 했다."
21,국립중앙박물관,용산구,박물관,3,4,서울 용산구 용산동6가 168-6,https://search1.kakaocdn.net/argon/130x130_85_c/HsLpluwzxHg,"국립중앙박물관(國立中央博物館, 영어: National Museum of Korea)은 대한민국 서울특별시 용산구 서빙고로 137번지에 위치한 국립박물관이다. 1972년 7월 19일 발족하였으며, 현재의 박물관은 2005년 10월 28일 신축 개관한 것이다.
본관은 동관과 서관으로 나누어져 있으며, 지하 1층·지상 6층으로 이루어져 있다. 전시 공간은 3개 층으로 나누어져 있다. 길이 404미터, 최고 높이 43.08미터의 건물로 세계에서 6번째로 큰 박물관이다. 어린이 박물관과 야외 전시장이 별도로 갖추어져 있다. 1월 1일은 휴관이며, 2008년 5월 1일부터 상설전시관, 어린이박물관의 관람료는 무료가 되었다. 부설극장 '용'에서는 여러 가지 공연을 하며 전통염료식물원과 한글박물관 등의 부설 시설도 있다. 2017년 11월 13일부터는 문화체육관광부가 보안을 이유로 박물관 입구 앞에 보안검색대(일명 x-ray검색대)가 설치되어 검사를 받고 관람을 할 수 있게 되어 있다."
23,매헌윤봉길의사기념관,서초구,박물관,22,4,서울 서초구 양재동 236,https://search1.kakaocdn.net/argon/130x130_85_c/Krydt6G9TLU,"윤봉길(尹奉吉, 1908년 6월 21일 ~ 1932년 12월 19일)은 조선의 독립운동가이며 교육자·시인 겸 저술가이다. 본관은 파평(坡平)이다. 아명은 윤우의(尹禹儀), 호는 매헌(梅軒)이고, 충청남도 덕산 출생이다."
25,몽촌역사관,송파구,박물관,24,4,서울 송파구 방이동 88-3,https://search3.kakaocdn.net/argon/130x130_85_c/6c4C4tnn7i2,"몽촌역사관(蒙村歷史館, Mongchon Museum of History)은 서울특별시 송파구 올림픽공원 내에 위치한 역사박물관이다. 올림픽공원 내 북문에 위치해 있으며, 남문에는 한성백제박물관이 위치해 있다."
26,한성백제박물관,송파구,박물관,24,4,서울 송파구 방이동 88-20,https://search4.kakaocdn.net/argon/130x130_85_c/A1DSbl2ApTA,"한성백제박물관(漢城百濟博物館, Seoul Baekje Museum)은 대한민국 서울특별시 송파구 방이동에 있는 서울시립박물관이다. 올림픽공원 내부에 있으며, 지하3층과 지상2층으로 나뉘어져 있다. 상설전시는 서울의 선사·고대문화를 중심으로 백제 탄생 이전과 탄생 후 멸망까지의 내용으로 구성되어 있다. 전시 공간은 지하 2층부터 지상 1층까지이다. 2012년 4월 30일 개관하였고, 총면적은 19,423m2 정도이며, 대지면적은 14,894m2, 건축면적은 2,901m2이다. 관장은 지방학예연구관으로 보하되, 지방임기제공무원으로 보할 수 있다.

"
27,박을복자수박물관,강북구,박물관,9,4,서울 강북구 우이동 86-4,https://search3.kakaocdn.net/argon/130x130_85_c/5V1fotRUPK2,박을복자수박물관
28,생명과학박물관,양천구,박물관,15,4,서울 양천구 목1동 405-207,https://search1.kakaocdn.net/argon/130x130_85_c/7J3Ef3WP2M4,"석주명(石宙明, 1908년 10월 17일 ~ 1950년 10월 6일)은 대한민국의 나비 연구가, 생물학자, 곤충학자, 동물학자, 언어학자, 박물학자, 제주도연구가이다."
29,서대문자연사박물관,서대문구,박물관,13,4,서울 서대문구 연희동 141-52,https://search1.kakaocdn.net/argon/130x130_85_c/EZh3T2pmes0,"서대문 자연사 박물관(Seodaemun Museum of Natural History)은 서울특별시 서대문구 연희동에 위치한 자연사 박물관이다. 서대문자연사박물관은 1만m²(약3078평)에 지하 1층, 지상 3층 규모(연면적 2102평)로 세워졌으며, 2000년 1월 착공해 3년 6개월 만에 완공되었다. 서대문구청에 의해 만들어져, 대한민국의 첫 지방자치단체에 의한 종합 자연사박물관이다.전시 내용은 지구의 탄생과 변화, 생명체의 다양한 모습과 흔적 등이 주제별로 꾸며져 있다. 1층 중앙홀에서는 거대한 육식 공룡의 골격화석 및 여러 종류의 화석을 볼 수 있다.  중생대 백악기 공룡인 아크로칸토사우루스, 익룡인 프테라노돈의 골격, 불독 물고기라 불리는 크시팍티누스(Xiphactinus), 크시팍티누스의 먹이 파키리조두스(Pachyrhizodus)의 골격 등이 전시돼 있다. 1층 '인간과자연관'에서는 무분별한 광산 개발로 인해 파괴된 산림을 보여주는 '신음하는 자연'과 한강에 서식하는 동식물을 전시한 수족관도 매우 인상적이다. 2층 '생명진화관'은 태초의 생명이 현재의 인류로 진화한 과정을 전시하는 곳으로, 서해안에서 발견된 스트로마톨라이트를 볼 수 있다. 이는 미생물인 시아노박테리아가 광합성 활동 등을 하면서 만들어낸 층 모양의 줄무늬 암석이다. 서대문자연사박물관 방문연구원 문경수가 서호주에서 직접 공수해 기증한 스트로마톨라이트 또한 볼 수 있다. 또한 선캄브리아기, 고생대, 중생대, 신생대의 화석들과 포유류, 조류, 곤충, 양서 파충류, 어류 등 다양한 생물 표본들을 만날 수 있다. 3층 '지구환경관'에서는 입체안경을 끼고 빅뱅부터 지구가 형성되는 과정을 3차원 영상으로 볼 수 있다. 우주에서 온 철질 운석을 직접 만져볼 수도 있다. 동굴관은 동굴의 종류와 생성원리, 석회암동굴의 단면을 살펴볼 수 있다. 자연에서 생성된 광물표본(보석광물, 형광광물 포함)과 퇴적암, 변성암, 화성암 등 암석 표본들이 전시되어 있다. 매주 월요일은 휴관한다.
비단벌레의 신종 발표논문에 도움을 주었으며, 2010년도에 비단벌레 특집 전시회를 연 적도 있다."
30,서대문형무소역사관,서대문구,박물관,13,4,서울 서대문구 현저동 101,https://search2.kakaocdn.net/argon/130x130_85_c/F9wWhlQ8FyQ,"서대문형무소(西大門刑務所) 또는 서대문 감옥(西大門監獄)은 1907년(융희 원년) 대한제국을 점령한 한국통감부가 서울에 건설한 형무소이다.
서대문형무소는 1908년 의병탄압을 위해 만들어졌다. 또한 일본 제국주의에 의해 세워졌던 경성감옥을 시초로 하고 있으며, 1923년 서대문형무소로 개칭되었다. 이후 해방 뒤에도 교도소, 구치소로 활용되다가 1987년 교도소 시설은 경기도 의왕시로 옮기고, 박물관, 문화재 형식으로 운영하고 있으며, 현재 그 건물에 서대문독립공원의 서대문형무소 역사관이 설치되어 있다. 대한제국 말기에 지어져 일제 강점기 때의 독립 운동뿐만 아니라 광복 이후 정치적 격변과 민주화 운동에 이르기까지, 근·현대사의 여러 주요 사건이 벌어진 장소가 되었다.

"
31,서울세관관세박물관,강남구,박물관,23,4,서울 강남구 논현동 71,https://search2.kakaocdn.net/argon/130x130_85_c/3ZVrRweusph,관세박물관은 관세업무의 중요성과 필요성을 널리 알리고 이해와 협조를 이끌어냄과 동시에 소중한 관세유물의 보존을 위한 공간을 마련한다는 취지로 2000년 8월 30일 설립된 관세청 서울본부세관 소속의 관세전문 국립박물관이다. 서울특별시 강남구 언주로 721 서울세관 1층에 위치하고 있다.
32,수도박물관,성동구,박물관,4,4,서울 성동구 성수동1가 642-1,https://search1.kakaocdn.net/argon/130x130_85_c/A0bnRNch5y4,"수도박물관(중국어: 首都博物館)은 중화인민공화국 베이징 시에 있는 대형 박물관이다. 1981년에 개장한 이 박물관은 지하 1층에서 지상 6층으로 구성되어 있으며, 각 층에는 고대 중국의 유적과 명나라 및 청나라 시기의 도자기, 불상, 공예품 등이 전시되어 있다. 박물관의 1층 로비에는 2008년 베이징 올림픽을 기념하는 대형 전시 그림이 붙어 있다."
33,청계천문화관,성동구,박물관,4,4,서울 성동구 마장동 527-4,https://search4.kakaocdn.net/argon/130x130_85_c/78QNQsiHhEF,"청계천박물관(淸溪川博物館)은 서울특별시 성동구 마장동에 위치한 서울특별시 산하의 박물관이다. 2005년 9월 26일 개관하였으며, 당시의 명칭은 청계천문화관이었다. 청계천의 역사 및 복원, 도시건축과 관련된 내용을 전시하고 있다. 서울역사박물관의 분관이다."
35,한국영화박물관,마포구,박물관,14,4,서울 마포구 상암동 1602,https://search1.kakaocdn.net/argon/130x130_85_c/A94p4PGrj8F,한국영화박물관(Korean film museum)은 서울특별시 마포구 월드컵북로 400 한국영상자료원 1층에 위치한 영화 박물관이다. 한국영화박물관은 2008년 5월 9일에 개관하였으며 별도의 관람료를 지불하지않고도 이용이 가능하다.한국영화박물관은 1900년대 초부터 시작된 한국영화의 100년 역사를 보여준다. 전시실에는 영화 필름 자료 약 2만3000여 점과 영화 소품·시나리오 등 비필름 자료 76만8000여 점이 전시되어 있다. 한국영상자료원이 40여 년간 수집해온 것이다.
36,증권박물관,영등포구,박물관,19,4,경기 고양시 일산동구 백석동 1328,https://search2.kakaocdn.net/argon/130x130_85_c/HDoIhywKZdb,"대영박물관(大英博物館, The British Museum)은 영국의 런던 블룸즈베리에 위치해 있는 영국 최대의 국립 공공박물관이다. 대영박물관은 과거 영국이 제국주의시대부터 전세계 모든 대륙에서 수집한 방대한 유물들을 소장 및 전시하고 있다. 대영박물관은 인류시작부터 현재까지의 역사, 미술, 문화와 관련된 유물 및 소장품이 대략 8백만여점에 달한다.
1753년에 설립되었으나 처음에는 한스 슬론 경의 개인수집품이 전시물의 대부분을 이루었고, 공공에 개방된 것은 1759년 1월 15일이었다. 블룸스베리의 몬태규 저택이었는데 현재 박물관 자리이다. 2세기 반에 걸친 확장으로 인해 몇 개의 부속 기관이 생겼고, 이때 남킹스턴 영국 박물관(자연사)이 1887년 생긴 것이다. 이후 도서관이 생기며 크게 확장되었으며, 영국을 대표하는 박물관으로 명실상부하게 자리잡아 현재까지 이르게 되었다."
37,평강제일교회성서유물박물관,구로구,박물관,17,4,서울 구로구 오류동 150-15,https://search1.kakaocdn.net/argon/130x130_85_c/CrBNTGxI5FS,대한민국에 있는 사립박물관과 미술관 목록이다.
38,한국가구박물관,성북구,박물관,8,4,서울 성북구 성북동 330-577,https://search2.kakaocdn.net/argon/130x130_85_c/9hGzWBcbb9m,"한국가구박물관은 한국 전통 목가구를 수집, 보존, 전시하는 특수 전문 박물관으로 한국 전통 주생활과 전통 실내 장식을 한국가구와 함께 쉽게 알 수 있도록 특성을 살리고 있다. 특히 서울 중심 광화문에서 10분 거리의 성북동에 위치하여 민속촌에 가기힘든 외국인이 한국 주생활 전통을 피부로 느끼고 갈 수 있는 생활사 공간이다. 불특정 다수의 공간이 아니라 각 개인의 특징적인 수집으로 특성을 살린 인간적인 전시 분류방법을 도입, 한국전통가구를 종류별(사랑방, 안방, 부엌 등), 재료별(먹감나무, 은행나무, 대나무, 소나무, 종이등) 지역별(각 지방 특성순)로 분류 전시하고 있다. 한국가구박물관의 관람은 사전 예약제로 운영된다."
39,한국은행화폐금융박물관,중구,박물관,2,4,서울 중구 남대문로3가 110,https://search2.kakaocdn.net/argon/130x130_85_c/3i1Ydck6HWL,"한국은행 화폐박물관(韓國銀行 貨幣博物館)은 2001년에 설립되었다. 박물관이 위치한 한국은행 구본관은 서울 중구 남대문로에 위치한 대한민국의 사적 제280호로 지정된 건물이다.
박물관은 크게 전시 공간과 보조 공간으로 나뉘어 있는데, 전시 공간은 우리의 중앙은행, 화폐의 일생, 돈과 나라경제, 화폐광장, 상평통보갤러리, 금과 화폐실, 화폐기기실, 기증화폐실, 모형금고, 세계의 화폐실, 체험학습실, 기획전시실, 한은갤러리로 구성되어 있다. 보조 공간으로는 자료안내실, 뮤지엄샵, 카페 등을 두어 이용자들이 편안하게 이용할 수 있게 하였다.

"
40,허준박물관,강서구,박물관,16,4,서울 강서구 가양동 26-5,https://search4.kakaocdn.net/argon/130x130_85_c/2wXPI5dGoRT,허준박물관(許浚博物館)은 의성 허준 선생이 태어나고 성장하였으며 《동의보감》(유네스코 세계기록유산)을 집필하고 돌아가신 곳으로 알려진 서울특별시 강서구에 2005년 3월 23일 개관한 공립박물관이다. 서울특별시 강서구 허준로 87번지에 있다.
41,호림박물관,관악구,박물관,21,4,서울 강남구 신사동 651-23,https://search3.kakaocdn.net/argon/130x130_85_c/JDOWFqGmCmY,"호림박물관은 서울 관악구 신림동에 있는 박물관이다．
이 박물관에는 도자기 2천1백70여점을 비롯해 토기 2천5백여점，회화·전적 1천5백40점등 총6천8백여점을 소장하고 있다．이중에는 국보8점과 보물이 35점이 들어있다．특히 호림박물관은 청동기 시대부터 고려 시대까지 다양한 유형의 유물을 소장하여 토기의 발전을 체계적으로 살펴볼 수 있고, 도자기류로 청자와 분청사기，백자등은 고려 및 조선시대의 문화와 생활상，사회구조등을 파악할 수 있다．전적류도 호림소장품중 비중이 높은 편．고려 시대 초조대장경 및 조선시대 초기의 목판본과 활자본등 다양하게 구비하고 있다．특히 초조대장경은 고려 전기의 불교계의 동향과 대외관계 등을 이해하는 데 중요한 문헌이다."
42,와룡공원,종로구,공원,1,6,서울 종로구 명륜3가 53-52,https://search1.kakaocdn.net/argon/130x130_85_c/8mQif9R4aUN,"와룡공원(臥龍公園)은 서울특별시 종로구 명륜3가와 와룡동 등에 위치한 공원이다. 북악산 동쪽 기슭의 성균관대학교 부근에 조성되었다.
1940년에 처음으로 공원 용지로 지정되었으나, 공원으로 조성되지는 않아 1981년 당시에는 서류상으로만 공원이었다. 1988년 11월에 종로구청에서는 와룡공원을 1991년까지 조성하겠다고 밝혔다."
43,인왕산공원,종로구,공원,1,6,서울 종로구 옥인동 산 3-37,https://search4.kakaocdn.net/argon/130x130_85_c/7y5KIpxcatE,"인왕산(仁王山)은 서울특별시 종로구와 서대문구에 걸쳐있는 산이며 전체 면적은 1,086,696.50m2이다.바위산이기 때문에 조망도 좋고 기차바위·치마바위·매바위·범바위·이슬바위·모자바위·선바위·지렁이바위 등이 저마다 기이한 모습들을 뽐내고 있다. 산수화로 겸재 정선의 《인왕제색도》(국보 제216호)가 유명하다.
뒤쪽엔 서대문형무소가 있고 앞쪽에는 경복궁이있다"
44,탑골공원,종로구,공원,1,6,서울 종로구 종로2가 38-1,https://search4.kakaocdn.net/argon/130x130_85_c/LUu8wXVn66H,"탑골공원(塔-公園)은 대한민국 서울특별시 종로구 종로2가에 있는 공원이다. 뼈모양의 탑이 있어 탑골(塔骨) 공원으로 불리기도 한다.
사적 제354호로 지정되어 있는 탑골공원은 국내 최초의 도심 내 공원으로 1919년 일제에 항거하는 3·1운동이 일어났던 곳이다.
1919년 3월 1일 민족대표 33인의 이름으로 독립선언서가 낭독되었는데 이곳은 고려시대 흥복사가 있던 자리였는데 탑이 생기면서 탑동(塔洞)으로 불리다가 탑동공원(塔洞公園)·파고다공원이 되었다."
